#regionID	elementGroupID	refElementID	refSiteID	otherElementIDs
region0275	superfam03-1:fam0011	fusoxy2_s05890	.	
region0276	superfam01-5:fam0015	fusoxy40_s06019	.	
region0277	superfam01-1:fam0001	fusred1_s06245	.	
region0278	superfam01-5:fam0017	fussuc1_s06424	.	
region0279	superfam03-1:fam0011	fusxyl3_s06685	.	
region0280	superfam01-5:fam0080	hiscap1_s07002	.	
region0281	superfam01-5:fam0080	hiscap1_s07003	.	
region0282	superfam01-5:fam0080	hiscap1_s07039	.	
region0283	superfam01-5:fam0032	hiscap1_s07040	.	
region0284	superfam01-3:fam0227	hiscap1_s07043	.	
region0285	superfam01-5:fam0217	hiscap1_s07048	.	
region0286	superfam02-1:fam0002	hiscap1_s07054	.	
region0287	superfam01-5:fam0233	hiscap3_s07071	.	
region0288	superfam01-5:fam0392	hiscap5_s07114	.	
region0289	superfam03-4:fam0365	lasthe2_s07469	.	
region0290	superfam01-5:fam0358	letlup1_s07607	.	
region0291	superfam03-4:fam0365	macpha1_s07667	.	
region0292	superfam02-3:fam0378	orboli12_s08163	.	
region0293	superfam01-1:fam0063	parbra1_s08212	.	
region0294	superfam01-5:fam0027	parbra2_s08231	.	
region0295	superfam01-5:fam0080	parbra2_s08236	.	
region0296	superfam01-5:fam0014	parlut1_s08246	.	
region0297	superfam03-1:fam0749	podcom1_s08798	.	
region0298	superfam03-1:fam0261	pyrory2_s09330	.	
region0299	superfam01-5:sng1019	talcel1_s09841	.	
region0300	superfam01-4:fam0055	verdah3_s10230	.	
